D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
J13:1
J14:1
J15:1
J16:1
R10:1
R11:1
R12:1
R13:1
R4:1
R5:1
R6:1
R8:1
R9:1
REF**:18
